,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P1_TO_P8,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P2_TO_P8,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P3_TO_P8,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P4_TO_P8,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P5_TO_P8,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P6_TO_P8,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7,P7_TO_P8,P8_TO_LAPTOP,P8_TO_P1,P8_TO_P2,P8_TO_P3,P8_TO_P4,P8_TO_P5,P8_TO_P6,P8_TO_P7,P8_TO_P8
244,244,0.07,0.0,0.06,0.11,0.11,0.22,0.28,0.06,0.1,0.05,0.01,0.0,0.24,0.29,0.19,0.02,0.1,0.1,0.01,0.01,0.02,0.0,0.15,0.33,0.39,0.04,0.06,0.09,0.08,0.03,0.15,0.0,0.22,0.18,0.12,0.11,0.52,0.06,0.02,0.07,0.14,0.0,0.07,0.04,0.08,0.06,0.04,0.07,0.06,0.13,0.07,0.0,0.45,0.12,0.6,0.09,0.02,0.03,0.09,0.12,0.02,0.0,0.04,0.0,0.04,0.01,0.04,0.18,0.45,0.17,0.11,0.0
245,245,0.06,0.0,0.04,0.04,0.08,0.23,0.45,0.03,0.07,0.04,0.02,0.0,0.24,0.26,0.15,0.15,0.07,0.08,0.01,0.01,0.02,0.0,0.22,0.16,0.5,0.03,0.05,0.02,0.03,0.01,0.06,0.0,0.22,0.54,0.03,0.06,0.03,0.02,0.01,0.05,0.23,0.0,0.54,0.09,0.04,0.03,0.03,0.05,0.03,0.13,0.11,0.0,0.56,0.06,0.3,0.09,0.02,0.04,0.17,0.18,0.13,0.0,0.07,0.0,0.03,0.01,0.04,0.19,0.37,0.3,0.06,0.0
246,246,0.19,0.0,0.03,0.08,0.3,0.13,0.16,0.03,0.07,0.02,0.0,0.0,0.47,0.22,0.11,0.02,0.11,0.04,0.02,0.02,0.02,0.0,0.32,0.36,0.12,0.04,0.09,0.02,0.04,0.03,0.1,0.0,0.3,0.06,0.06,0.39,0.19,0.06,0.01,0.07,0.16,0.0,0.33,0.06,0.11,0.07,0.08,0.05,0.05,0.12,0.16,0.0,0.37,0.1,0.03,0.07,0.02,0.04,0.16,0.26,0.38,0.0,0.04,0.0,0.04,0.01,0.04,0.21,0.43,0.13,0.13,0.0
247,247,0.04,0.0,0.02,0.18,0.55,0.15,0.04,0.01,0.02,0.04,0.01,0.0,0.18,0.37,0.18,0.02,0.09,0.11,0.13,0.02,0.02,0.0,0.25,0.12,0.03,0.35,0.09,0.03,0.08,0.02,0.11,0.0,0.5,0.08,0.08,0.1,0.1,0.13,0.08,0.14,0.32,0.0,0.11,0.05,0.05,0.05,0.07,0.04,0.04,0.12,0.19,0.0,0.39,0.1,0.08,0.08,0.03,0.23,0.14,0.11,0.3,0.0,0.04,0.0,0.02,0.01,0.04,0.23,0.4,0.18,0.12,0.0
248,248,0.03,0.0,0.03,0.24,0.38,0.2,0.04,0.02,0.05,0.05,0.03,0.0,0.11,0.35,0.17,0.04,0.11,0.13,0.37,0.03,0.01,0.0,0.39,0.07,0.02,0.04,0.07,0.07,0.16,0.05,0.17,0.0,0.19,0.11,0.14,0.11,0.11,0.11,0.1,0.12,0.3,0.0,0.13,0.05,0.08,0.04,0.16,0.05,0.05,0.1,0.13,0.0,0.37,0.09,0.05,0.06,0.05,0.6,0.12,0.08,0.03,0.0,0.02,0.0,0.03,0.0,0.07,0.17,0.15,0.44,0.15,0.0
249,249,0.0,0.0,0.03,0.02,0.17,0.65,0.04,0.02,0.07,0.42,0.03,0.0,0.1,0.24,0.1,0.01,0.06,0.03,0.02,0.01,0.01,0.0,0.45,0.32,0.06,0.04,0.08,0.02,0.08,0.02,0.09,0.0,0.64,0.05,0.06,0.05,0.28,0.2,0.08,0.08,0.22,0.0,0.08,0.03,0.04,0.03,0.07,0.06,0.18,0.38,0.11,0.0,0.08,0.09,0.02,0.06,0.01,0.03,0.14,0.23,0.49,0.0,0.04,0.02,0.04,0.0,0.06,0.29,0.38,0.11,0.1,0.0
250,250,0.01,0.0,0.04,0.06,0.16,0.55,0.08,0.03,0.08,0.04,0.02,0.0,0.05,0.53,0.2,0.0,0.05,0.1,0.12,0.01,0.02,0.0,0.61,0.15,0.01,0.02,0.06,0.02,0.08,0.02,0.11,0.0,0.43,0.07,0.07,0.19,0.22,0.1,0.06,0.06,0.18,0.0,0.32,0.05,0.02,0.0,0.03,0.65,0.06,0.13,0.05,0.0,0.06,0.02,0.41,0.12,0.02,0.03,0.08,0.12,0.19,0.0,0.03,0.14,0.04,0.0,0.06,0.24,0.33,0.11,0.08,0.0
251,251,0.01,0.0,0.04,0.05,0.15,0.5,0.1,0.05,0.1,0.04,0.01,0.0,0.06,0.47,0.21,0.0,0.05,0.14,0.07,0.01,0.02,0.0,0.63,0.13,0.04,0.04,0.06,0.02,0.08,0.03,0.19,0.0,0.26,0.2,0.12,0.1,0.06,0.02,0.02,0.02,0.1,0.0,0.75,0.03,0.0,0.01,0.02,0.4,0.28,0.14,0.04,0.0,0.06,0.05,0.58,0.14,0.02,0.03,0.07,0.12,0.02,0.0,0.02,0.03,0.04,0.01,0.05,0.27,0.4,0.11,0.08,0.0
252,252,0.01,0.0,0.06,0.22,0.07,0.04,0.22,0.14,0.25,0.05,0.0,0.0,0.06,0.58,0.19,0.0,0.05,0.08,0.02,0.01,0.01,0.0,0.18,0.39,0.29,0.02,0.07,0.04,0.11,0.04,0.31,0.0,0.18,0.12,0.09,0.11,0.16,0.05,0.03,0.05,0.13,0.0,0.51,0.04,0.03,0.03,0.03,0.07,0.24,0.4,0.08,0.0,0.06,0.09,0.24,0.1,0.02,0.05,0.22,0.31,0.02,0.0,0.04,0.58,0.02,0.0,0.05,0.06,0.11,0.11,0.06,0.0
253,253,0.0,0.0,0.07,0.32,0.02,0.03,0.24,0.0,0.31,0.05,0.0,0.0,0.05,0.59,0.18,0.01,0.07,0.06,0.0,0.0,0.01,0.0,0.11,0.15,0.64,0.04,0.03,0.04,0.09,0.03,0.16,0.0,0.14,0.36,0.08,0.11,0.18,0.06,0.03,0.05,0.12,0.0,0.47,0.04,0.05,0.05,0.05,0.03,0.07,0.53,0.1,0.0,0.07,0.12,0.03,0.13,0.03,0.06,0.21,0.42,0.07,0.0,0.05,0.21,0.03,0.01,0.06,0.14,0.14,0.26,0.16,0.0
254,254,0.0,0.0,0.08,0.29,0.03,0.04,0.24,0.03,0.29,0.04,0.0,0.0,0.17,0.48,0.18,0.01,0.07,0.06,0.01,0.0,0.01,0.0,0.12,0.29,0.47,0.04,0.05,0.01,0.05,0.01,0.07,0.0,0.05,0.71,0.03,0.08,0.25,0.09,0.04,0.08,0.17,0.0,0.24,0.06,0.06,0.05,0.04,0.03,0.06,0.57,0.1,0.0,0.06,0.11,0.03,0.1,0.04,0.07,0.24,0.41,0.01,0.0,0.09,0.0,0.04,0.01,0.06,0.22,0.25,0.24,0.18,0.0
255,255,0.01,0.0,0.08,0.23,0.06,0.07,0.23,0.05,0.28,0.02,0.01,0.0,0.45,0.2,0.13,0.04,0.12,0.04,0.01,0.0,0.01,0.0,0.13,0.58,0.15,0.03,0.07,0.01,0.05,0.01,0.06,0.0,0.11,0.67,0.02,0.07,0.23,0.08,0.04,0.08,0.16,0.0,0.33,0.05,0.04,0.03,0.03,0.1,0.07,0.56,0.09,0.0,0.06,0.07,0.05,0.15,0.04,0.08,0.25,0.29,0.03,0.0,0.11,0.0,0.03,0.01,0.04,0.23,0.39,0.16,0.13,0.0
256,256,0.0,0.0,0.09,0.25,0.05,0.07,0.27,0.04,0.24,0.02,0.03,0.0,0.12,0.21,0.46,0.05,0.07,0.04,0.01,0.0,0.01,0.0,0.11,0.44,0.34,0.04,0.06,0.01,0.05,0.01,0.05,0.0,0.1,0.68,0.01,0.08,0.47,0.09,0.02,0.08,0.14,0.0,0.1,0.03,0.07,0.02,0.07,0.31,0.08,0.16,0.12,0.0,0.2,0.05,0.05,0.16,0.04,0.09,0.24,0.26,0.06,0.0,0.12,0.0,0.03,0.01,0.03,0.22,0.39,0.15,0.16,0.0
257,257,0.0,0.0,0.04,0.07,0.1,0.07,0.11,0.48,0.13,0.03,0.03,0.0,0.06,0.29,0.42,0.03,0.05,0.08,0.01,0.01,0.02,0.0,0.2,0.26,0.42,0.04,0.04,0.01,0.05,0.01,0.05,0.0,0.14,0.66,0.02,0.07,0.44,0.16,0.02,0.09,0.16,0.0,0.07,0.03,0.02,0.01,0.04,0.43,0.07,0.21,0.08,0.0,0.07,0.08,0.21,0.12,0.04,0.05,0.16,0.21,0.16,0.0,0.05,0.0,0.03,0.01,0.02,0.23,0.46,0.15,0.11,0.0
258,258,0.0,0.0,0.04,0.06,0.08,0.06,0.13,0.52,0.11,0.04,0.02,0.0,0.06,0.4,0.22,0.02,0.09,0.15,0.01,0.01,0.02,0.0,0.1,0.41,0.36,0.05,0.04,0.01,0.06,0.01,0.05,0.0,0.09,0.7,0.01,0.08,0.31,0.31,0.04,0.07,0.11,0.0,0.09,0.03,0.04,0.01,0.02,0.56,0.14,0.12,0.05,0.0,0.06,0.04,0.58,0.14,0.02,0.03,0.07,0.11,0.03,0.0,0.02,0.0,0.03,0.01,0.02,0.22,0.47,0.14,0.11,0.0
259,259,0.0,0.0,0.0,0.06,0.08,0.04,0.07,0.64,0.1,0.04,0.05,0.0,0.07,0.23,0.45,0.04,0.07,0.07,0.03,0.01,0.02,0.0,0.23,0.54,0.07,0.02,0.09,0.01,0.05,0.01,0.07,0.0,0.05,0.72,0.02,0.08,0.56,0.09,0.01,0.07,0.13,0.0,0.05,0.02,0.08,0.02,0.02,0.24,0.2,0.28,0.09,0.0,0.07,0.07,0.6,0.12,0.03,0.03,0.07,0.11,0.02,0.0,0.03,0.0,0.03,0.01,0.05,0.21,0.31,0.23,0.17,0.0
260,260,0.01,0.0,0.05,0.19,0.07,0.07,0.17,0.18,0.26,0.03,0.02,0.0,0.21,0.25,0.23,0.05,0.12,0.1,0.01,0.01,0.01,0.0,0.11,0.22,0.56,0.04,0.03,0.01,0.04,0.01,0.06,0.0,0.06,0.69,0.02,0.1,0.35,0.09,0.04,0.08,0.22,0.0,0.06,0.04,0.13,0.03,0.04,0.04,0.05,0.39,0.08,0.0,0.17,0.22,0.6,0.1,0.02,0.03,0.08,0.11,0.02,0.0,0.04,0.0,0.04,0.02,0.03,0.21,0.45,0.15,0.11,0.0
261,261,0.01,0.0,0.07,0.28,0.06,0.06,0.26,0.01,0.26,0.01,0.03,0.0,0.08,0.27,0.42,0.08,0.07,0.05,0.01,0.0,0.02,0.0,0.19,0.15,0.55,0.04,0.04,0.01,0.04,0.01,0.06,0.0,0.03,0.71,0.02,0.12,0.05,0.18,0.06,0.09,0.24,0.0,0.15,0.04,0.18,0.02,0.05,0.03,0.03,0.26,0.04,0.0,0.17,0.41,0.03,0.1,0.02,0.05,0.13,0.12,0.5,0.0,0.05,0.06,0.02,0.01,0.06,0.17,0.21,0.3,0.18,0.0
262,262,0.01,0.0,0.04,0.27,0.08,0.07,0.46,0.03,0.04,0.12,0.03,0.0,0.06,0.19,0.4,0.14,0.03,0.03,0.02,0.01,0.01,0.0,0.35,0.12,0.43,0.03,0.05,0.09,0.07,0.02,0.1,0.0,0.09,0.43,0.14,0.07,0.04,0.02,0.01,0.03,0.08,0.0,0.72,0.03,0.06,0.02,0.04,0.02,0.03,0.41,0.04,0.0,0.2,0.24,0.01,0.08,0.0,0.04,0.08,0.1,0.65,0.0,0.04,0.0,0.01,0.01,0.04,0.16,0.2,0.46,0.13,0.0
263,263,0.1,0.0,0.08,0.24,0.1,0.14,0.27,0.03,0.05,0.64,0.04,0.0,0.04,0.08,0.03,0.12,0.04,0.01,0.01,0.0,0.01,0.0,0.22,0.17,0.5,0.03,0.05,0.02,0.04,0.02,0.13,0.0,0.11,0.57,0.05,0.07,0.05,0.03,0.02,0.02,0.06,0.0,0.79,0.03,0.0,0.02,0.05,0.03,0.29,0.27,0.13,0.0,0.09,0.12,0.01,0.08,0.0,0.03,0.09,0.11,0.63,0.0,0.05,0.0,0.02,0.02,0.02,0.13,0.39,0.35,0.07,0.0
264,264,0.11,0.0,0.1,0.52,0.08,0.09,0.07,0.02,0.01,0.49,0.04,0.0,0.05,0.2,0.11,0.02,0.06,0.03,0.05,0.01,0.02,0.0,0.58,0.21,0.02,0.03,0.08,0.02,0.04,0.01,0.09,0.0,0.18,0.55,0.04,0.08,0.17,0.38,0.06,0.06,0.16,0.0,0.12,0.02,0.03,0.03,0.03,0.04,0.13,0.26,0.31,0.0,0.12,0.08,0.06,0.12,0.02,0.05,0.18,0.29,0.24,0.0,0.05,0.0,0.03,0.02,0.03,0.22,0.48,0.13,0.09,0.0
265,265,0.13,0.0,0.13,0.29,0.19,0.12,0.07,0.01,0.05,0.03,0.03,0.0,0.03,0.31,0.48,0.03,0.04,0.05,0.02,0.0,0.01,0.0,0.64,0.18,0.02,0.05,0.08,0.01,0.04,0.01,0.03,0.0,0.23,0.58,0.04,0.07,0.04,0.39,0.09,0.14,0.18,0.0,0.08,0.04,0.04,0.03,0.29,0.04,0.08,0.25,0.14,0.0,0.08,0.09,0.13,0.1,0.02,0.09,0.23,0.28,0.09,0.0,0.06,0.0,0.02,0.01,0.02,0.25,0.46,0.14,0.09,0.0
266,266,0.05,0.0,0.02,0.18,0.31,0.26,0.07,0.03,0.08,0.02,0.02,0.0,0.35,0.22,0.19,0.04,0.1,0.05,0.01,0.0,0.01,0.0,0.2,0.45,0.21,0.03,0.08,0.02,0.05,0.01,0.06,0.0,0.34,0.39,0.05,0.08,0.07,0.13,0.04,0.06,0.14,0.0,0.39,0.02,0.14,0.03,0.03,0.04,0.04,0.53,0.17,0.0,0.1,0.07,0.07,0.16,0.05,0.32,0.16,0.15,0.05,0.0,0.05,0.07,0.03,0.0,0.06,0.17,0.21,0.33,0.13,0.0
267,267,0.11,0.0,0.04,0.23,0.17,0.25,0.08,0.04,0.08,0.03,0.01,0.0,0.42,0.19,0.12,0.05,0.14,0.04,0.0,0.02,0.02,0.0,0.16,0.12,0.19,0.41,0.08,0.02,0.04,0.02,0.07,0.0,0.12,0.61,0.03,0.09,0.41,0.08,0.02,0.07,0.15,0.0,0.16,0.04,0.07,0.03,0.09,0.03,0.05,0.55,0.08,0.0,0.11,0.06,0.14,0.31,0.05,0.08,0.13,0.14,0.08,0.0,0.05,0.04,0.04,0.0,0.06,0.22,0.29,0.18,0.17,0.0
268,268,0.04,0.0,0.07,0.19,0.08,0.1,0.23,0.04,0.26,0.02,0.01,0.0,0.43,0.21,0.15,0.04,0.1,0.05,0.01,0.0,0.01,0.0,0.11,0.62,0.14,0.03,0.07,0.02,0.04,0.01,0.05,0.0,0.09,0.69,0.01,0.08,0.25,0.06,0.02,0.07,0.16,0.0,0.25,0.02,0.17,0.04,0.02,0.05,0.06,0.52,0.11,0.0,0.14,0.06,0.02,0.07,0.03,0.04,0.08,0.1,0.63,0.0,0.04,0.01,0.03,0.0,0.06,0.13,0.15,0.19,0.43,0.0
269,269,0.0,0.0,0.07,0.42,0.03,0.04,0.25,0.0,0.2,0.03,0.03,0.0,0.14,0.31,0.26,0.04,0.1,0.09,0.01,0.01,0.02,0.0,0.4,0.16,0.06,0.25,0.08,0.03,0.06,0.02,0.11,0.0,0.22,0.18,0.07,0.31,0.08,0.07,0.04,0.1,0.2,0.0,0.38,0.03,0.09,0.02,0.03,0.02,0.05,0.25,0.54,0.0,0.04,0.06,0.01,0.08,0.02,0.04,0.08,0.1,0.64,0.0,0.03,0.0,0.03,0.0,0.05,0.15,0.18,0.17,0.41,0.0
270,270,0.41,0.0,0.03,0.09,0.09,0.19,0.14,0.01,0.04,0.64,0.04,0.0,0.04,0.12,0.05,0.04,0.05,0.02,0.01,0.01,0.02,0.0,0.28,0.12,0.47,0.03,0.06,0.06,0.08,0.03,0.15,0.0,0.33,0.12,0.11,0.12,0.06,0.03,0.01,0.05,0.11,0.0,0.63,0.04,0.06,0.05,0.03,0.04,0.06,0.23,0.24,0.0,0.27,0.08,0.01,0.09,0.0,0.04,0.09,0.11,0.64,0.0,0.02,0.0,0.02,0.0,0.04,0.16,0.18,0.18,0.42,0.0
271,271,0.06,0.0,0.05,0.63,0.07,0.07,0.1,0.01,0.0,0.68,0.05,0.0,0.03,0.1,0.04,0.03,0.05,0.02,0.01,0.01,0.02,0.0,0.29,0.22,0.35,0.03,0.07,0.04,0.07,0.01,0.08,0.0,0.44,0.18,0.07,0.1,0.07,0.03,0.02,0.05,0.11,0.0,0.61,0.04,0.07,0.16,0.05,0.04,0.06,0.13,0.22,0.0,0.23,0.1,0.02,0.1,0.01,0.08,0.09,0.11,0.57,0.0,0.01,0.0,0.03,0.0,0.06,0.13,0.14,0.23,0.41,0.0
272,272,0.06,0.0,0.05,0.49,0.11,0.08,0.16,0.01,0.03,0.67,0.05,0.0,0.03,0.11,0.05,0.04,0.05,0.01,0.02,0.01,0.02,0.0,0.29,0.21,0.35,0.04,0.06,0.01,0.06,0.02,0.09,0.0,0.05,0.62,0.06,0.08,0.06,0.07,0.02,0.1,0.22,0.0,0.22,0.06,0.25,0.03,0.11,0.04,0.05,0.5,0.12,0.0,0.08,0.07,0.03,0.1,0.04,0.07,0.13,0.13,0.44,0.0,0.07,0.17,0.03,0.0,0.07,0.14,0.15,0.25,0.2,0.0
273,273,0.05,0.0,0.08,0.3,0.14,0.22,0.13,0.03,0.06,0.69,0.04,0.0,0.02,0.11,0.05,0.02,0.05,0.01,0.01,0.0,0.01,0.0,0.09,0.15,0.66,0.05,0.02,0.02,0.04,0.01,0.06,0.0,0.05,0.72,0.02,0.09,0.26,0.1,0.03,0.08,0.18,0.0,0.26,0.06,0.04,0.04,0.08,0.06,0.04,0.49,0.09,0.0,0.11,0.09,0.05,0.14,0.04,0.08,0.2,0.31,0.08,0.0,0.09,0.49,0.04,0.0,0.07,0.09,0.1,0.14,0.06,0.0
274,274,0.25,0.0,0.07,0.1,0.06,0.09,0.35,0.03,0.04,0.7,0.02,0.0,0.03,0.11,0.05,0.02,0.05,0.02,0.02,0.01,0.02,0.0,0.34,0.24,0.18,0.12,0.06,0.02,0.04,0.01,0.08,0.0,0.35,0.37,0.04,0.08,0.42,0.09,0.02,0.08,0.18,0.0,0.14,0.03,0.04,0.02,0.02,0.01,0.02,0.17,0.68,0.0,0.03,0.05,0.06,0.11,0.04,0.06,0.22,0.3,0.13,0.0,0.07,0.57,0.03,0.0,0.07,0.08,0.1,0.11,0.04,0.0
275,275,0.09,0.0,0.28,0.3,0.1,0.14,0.06,0.0,0.03,0.59,0.05,0.0,0.03,0.17,0.08,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.1,0.15,0.67,0.04,0.03,0.03,0.06,0.01,0.08,0.0,0.55,0.08,0.08,0.1,0.39,0.11,0.02,0.08,0.18,0.0,0.14,0.03,0.06,0.02,0.0,0.0,0.03,0.18,0.69,0.0,0.02,0.05,0.08,0.14,0.03,0.06,0.19,0.22,0.21,0.0,0.07,0.5,0.05,0.0,0.08,0.15,0.11,0.07,0.04,0.0
276,276,0.03,0.0,0.08,0.61,0.11,0.07,0.08,0.01,0.0,0.04,0.02,0.0,0.17,0.41,0.17,0.04,0.07,0.07,0.02,0.01,0.02,0.0,0.57,0.12,0.14,0.06,0.06,0.03,0.07,0.01,0.1,0.0,0.53,0.07,0.09,0.1,0.09,0.3,0.08,0.09,0.28,0.0,0.08,0.03,0.05,0.03,0.03,0.04,0.17,0.53,0.09,0.0,0.04,0.08,0.03,0.1,0.05,0.07,0.44,0.18,0.02,0.0,0.11,0.63,0.02,0.0,0.04,0.19,0.06,0.03,0.02,0.0
277,277,0.06,0.0,0.06,0.28,0.26,0.13,0.11,0.03,0.06,0.02,0.01,0.0,0.02,0.18,0.12,0.5,0.08,0.06,0.01,0.01,0.02,0.0,0.22,0.38,0.26,0.05,0.05,0.03,0.06,0.02,0.12,0.0,0.28,0.32,0.06,0.11,0.27,0.36,0.05,0.07,0.16,0.0,0.05,0.02,0.02,0.01,0.03,0.03,0.45,0.29,0.07,0.0,0.04,0.08,0.01,0.04,0.03,0.05,0.62,0.12,0.02,0.0,0.1,0.69,0.02,0.01,0.06,0.09,0.06,0.04,0.03,0.0
278,278,0.04,0.0,0.08,0.11,0.13,0.17,0.18,0.04,0.27,0.01,0.0,0.0,0.01,0.12,0.07,0.67,0.07,0.05,0.01,0.0,0.02,0.0,0.09,0.71,0.05,0.06,0.04,0.03,0.05,0.01,0.06,0.0,0.58,0.11,0.07,0.08,0.17,0.54,0.05,0.05,0.1,0.0,0.05,0.03,0.02,0.02,0.48,0.03,0.13,0.16,0.07,0.0,0.04,0.07,0.01,0.09,0.02,0.06,0.33,0.37,0.08,0.0,0.05,0.18,0.04,0.01,0.08,0.16,0.19,0.22,0.14,0.0
279,279,0.01,0.0,0.08,0.1,0.08,0.12,0.21,0.04,0.36,0.02,0.0,0.0,0.01,0.13,0.05,0.66,0.08,0.05,0.02,0.01,0.02,0.0,0.31,0.36,0.18,0.05,0.04,0.03,0.07,0.01,0.09,0.0,0.54,0.07,0.08,0.1,0.39,0.33,0.03,0.06,0.11,0.0,0.05,0.02,0.01,0.03,0.23,0.05,0.15,0.25,0.13,0.0,0.07,0.1,0.02,0.08,0.01,0.05,0.22,0.49,0.11,0.0,0.02,0.5,0.05,0.0,0.08,0.1,0.11,0.11,0.05,0.0
280,280,0.01,0.0,0.08,0.17,0.07,0.09,0.23,0.11,0.24,0.03,0.0,0.0,0.02,0.17,0.11,0.54,0.09,0.04,0.02,0.01,0.02,0.0,0.44,0.3,0.08,0.05,0.08,0.02,0.06,0.01,0.07,0.0,0.55,0.14,0.07,0.08,0.06,0.38,0.18,0.08,0.17,0.0,0.06,0.03,0.04,0.02,0.02,0.03,0.53,0.18,0.12,0.0,0.04,0.05,0.02,0.07,0.01,0.04,0.19,0.5,0.15,0.0,0.02,0.02,0.05,0.01,0.08,0.24,0.27,0.19,0.14,0.0
281,281,0.01,0.0,0.05,0.2,0.05,0.09,0.36,0.04,0.2,0.02,0.0,0.0,0.01,0.14,0.06,0.64,0.09,0.04,0.01,0.01,0.02,0.0,0.22,0.36,0.32,0.03,0.04,0.01,0.05,0.01,0.07,0.0,0.39,0.37,0.03,0.06,0.6,0.12,0.01,0.06,0.12,0.0,0.08,0.01,0.0,0.02,0.02,0.02,0.32,0.21,0.31,0.0,0.03,0.08,0.02,0.09,0.0,0.05,0.16,0.64,0.03,0.0,0.0,0.11,0.03,0.01,0.07,0.18,0.22,0.22,0.15,0.0
282,282,0.03,0.0,0.05,0.06,0.12,0.23,0.42,0.0,0.09,0.03,0.0,0.0,0.03,0.53,0.2,0.04,0.09,0.07,0.01,0.01,0.01,0.0,0.17,0.27,0.44,0.05,0.04,0.01,0.03,0.01,0.05,0.0,0.48,0.34,0.03,0.04,0.15,0.52,0.05,0.05,0.12,0.0,0.06,0.02,0.02,0.01,0.01,0.0,0.02,0.23,0.67,0.0,0.01,0.05,0.01,0.09,0.0,0.04,0.15,0.68,0.02,0.0,0.01,0.17,0.05,0.0,0.07,0.15,0.19,0.26,0.1,0.0
283,283,0.08,0.0,0.04,0.07,0.07,0.12,0.5,0.05,0.07,0.03,0.0,0.0,0.05,0.54,0.18,0.04,0.09,0.08,0.0,0.0,0.01,0.0,0.08,0.51,0.32,0.04,0.04,0.01,0.03,0.01,0.04,0.0,0.66,0.2,0.02,0.03,0.17,0.41,0.05,0.08,0.16,0.0,0.07,0.03,0.03,0.01,0.01,0.0,0.02,0.22,0.68,0.0,0.02,0.04,0.01,0.05,0.03,0.22,0.26,0.34,0.03,0.0,0.06,0.0,0.03,0.01,0.05,0.16,0.28,0.27,0.2,0.0
284,284,0.0,0.0,0.07,0.25,0.05,0.14,0.22,0.03,0.24,0.02,0.0,0.0,0.06,0.61,0.16,0.02,0.08,0.05,0.01,0.01,0.01,0.0,0.22,0.29,0.39,0.04,0.05,0.01,0.03,0.01,0.04,0.0,0.67,0.19,0.02,0.04,0.31,0.11,0.04,0.1,0.22,0.0,0.12,0.04,0.07,0.02,0.02,0.02,0.16,0.24,0.44,0.0,0.04,0.05,0.01,0.06,0.02,0.1,0.29,0.45,0.02,0.0,0.05,0.0,0.03,0.01,0.03,0.23,0.51,0.12,0.08,0.0
285,285,0.0,0.0,0.07,0.29,0.04,0.15,0.24,0.0,0.21,0.02,0.0,0.0,0.05,0.36,0.22,0.19,0.1,0.06,0.01,0.02,0.02,0.0,0.25,0.44,0.05,0.09,0.11,0.01,0.01,0.0,0.02,0.0,0.74,0.18,0.01,0.03,0.24,0.16,0.09,0.1,0.2,0.0,0.09,0.04,0.07,0.02,0.01,0.01,0.02,0.27,0.6,0.0,0.05,0.03,0.02,0.06,0.01,0.03,0.26,0.57,0.02,0.0,0.03,0.0,0.03,0.01,0.03,0.19,0.46,0.17,0.12,0.0
286,286,0.02,0.0,0.07,0.16,0.08,0.18,0.28,0.04,0.17,0.02,0.0,0.0,0.03,0.5,0.18,0.09,0.1,0.08,0.02,0.0,0.02,0.0,0.25,0.59,0.05,0.02,0.04,0.01,0.05,0.01,0.06,0.0,0.53,0.23,0.05,0.07,0.14,0.11,0.08,0.12,0.32,0.0,0.13,0.05,0.06,0.05,0.06,0.06,0.06,0.4,0.17,0.0,0.13,0.08,0.02,0.1,0.02,0.05,0.31,0.42,0.01,0.0,0.06,0.0,0.03,0.01,0.05,0.18,0.23,0.34,0.16,0.0
287,287,0.1,0.0,0.05,0.09,0.12,0.26,0.25,0.05,0.08,0.02,0.01,0.0,0.04,0.54,0.17,0.05,0.1,0.07,0.01,0.02,0.02,0.0,0.32,0.2,0.03,0.3,0.11,0.01,0.05,0.01,0.06,0.0,0.27,0.5,0.02,0.07,0.2,0.11,0.07,0.11,0.29,0.0,0.13,0.04,0.05,0.03,0.04,0.25,0.12,0.31,0.1,0.0,0.08,0.08,0.02,0.13,0.04,0.06,0.25,0.41,0.01,0.0,0.08,0.0,0.02,0.01,0.03,0.25,0.36,0.2,0.13,0.0
288,288,0.15,0.0,0.05,0.08,0.14,0.38,0.09,0.02,0.1,0.02,0.01,0.0,0.03,0.49,0.11,0.19,0.09,0.05,0.01,0.05,0.06,0.0,0.14,0.07,0.04,0.05,0.58,0.02,0.05,0.02,0.07,0.0,0.26,0.42,0.08,0.08,0.16,0.15,0.08,0.13,0.26,0.0,0.12,0.05,0.06,0.02,0.41,0.05,0.03,0.23,0.08,0.0,0.07,0.1,0.02,0.12,0.04,0.05,0.1,0.15,0.46,0.0,0.06,0.0,0.03,0.01,0.05,0.17,0.28,0.28,0.18,0.0
